Date,Shell,AstraZeneca,HSBC Holdings,Unilever Group,BP,Diageo,Rio Tinto Group,Glencore,British American Tobacco,GlaxoSmithKline,FTSE 100
2014-02-04,6449.2998046875,3851.0,2903.5,473.79998779296875,1768.0,313.25,1565.4339599609375,624.5999755859375,3240.0,2079.0,2328.0
2014-02-05,6457.89990234375,3877.0,2881.0,470.04998779296875,1778.0,313.0,1591.1214599609375,624.0999755859375,3273.5,2088.5,2306.0
2014-02-06,6558.2998046875,3815.5,2928.0,482.1499938964844,1820.0,322.5,1609.757568359375,628.0999755859375,3338.5,2104.0,2349.0
2014-02-07,6571.7001953125,3860.0,2925.0,481.70001220703125,1818.0,325.3999938964844,1624.3642578125,627.7999877929688,3407.0,2101.0,2363.0
2014-02-10,6591.60009765625,3915.0,2966.5,482.04998779296875,1829.0,326.04998779296875,1619.3275146484375,624.0999755859375,3382.0,2105.5,2375.0
2014-02-11,6672.7001953125,3974.5,2993.0,491.75,1848.0,332.8500061035156,1655.0887451171875,635.4000244140625,3460.0,2143.5,2396.0
2014-02-12,6675.0,4002.5,2995.0,487.04998779296875,1847.0,337.1499938964844,1662.6439208984375,636.4000244140625,3510.0,2114.0,2363.0
2014-02-13,6659.39990234375,4055.5,3052.0,485.20001220703125,1820.0,332.04998779296875,1665.162353515625,638.2000122070312,3497.5,2128.5,2360.0
2014-02-14,6663.60009765625,4055.0,3047.0,486.3999938964844,1838.5,338.1000061035156,1676.7469482421875,638.0,3516.0,2123.0,2349.0
2014-02-17,6736.0,4073.0,3108.5,487.70001220703125,1865.5,344.04998779296875,1695.88671875,647.5,3559.0,2129.0,2387.0
2014-02-18,6796.39990234375,4092.5,3141.0,495.1000061035156,1871.0,345.3999938964844,1702.938232421875,656.2999877929688,3570.5,2166.5,2415.0
2014-02-19,6796.7001953125,3987.0,3126.5,495.0,1902.5,347.8500061035156,1693.8719482421875,656.5999755859375,3627.5,2180.5,2423.0
2014-02-20,6813.0,3996.0,3152.0,499.54998779296875,1903.5,340.45001220703125,1696.89404296875,652.0999755859375,3593.5,2195.5,2438.0
2014-02-21,6838.10009765625,4027.5,3155.0,501.70001220703125,1894.5,339.04998779296875,1693.3682861328125,654.2000122070312,3601.0,2216.0,2439.0
2014-02-24,6865.89990234375,4100.0,3182.5,505.8999938964844,1910.0,336.5,1695.383056640625,635.7000122070312,3536.5,2222.5,2474.0
2014-02-25,6830.5,4095.0,3176.5,508.0,1896.0,334.0,1686.820556640625,627.0,3439.0,2197.5,2471.0
2014-02-26,6799.2001953125,4075.0,3174.0,506.79998779296875,1873.5,329.8500061035156,1702.938232421875,627.0999755859375,3407.5,2189.0,2447.0
2014-02-27,6810.2998046875,4103.0,3219.5,503.29998779296875,1872.5,329.70001220703125,1696.89404296875,635.9000244140625,3459.0,2182.0,2443.0
2014-02-28,6809.7001953125,4084.0,3250.0,504.3999938964844,1878.5,329.20001220703125,1683.79833984375,629.7000122070312,3432.5,2178.0,2441.0
2014-03-03,6708.39990234375,3994.0,3210.5,492.8999938964844,1842.0,326.25,1676.2431640625,622.5999755859375,3350.5,2157.0,2395.0
2014-03-04,6823.7998046875,4080.5,3286.5,491.5,1875.0,331.8500061035156,1702.4344482421875,631.7000122070312,3381.5,2195.0,2463.0
2014-03-05,6775.39990234375,4039.5,3325.0,486.0,1859.0,332.20001220703125,1698.9088134765625,622.5999755859375,3269.0,2178.5,2445.0
2014-03-06,6788.5,4011.0,3335.0,486.8999938964844,1857.5,339.95001220703125,1684.8057861328125,625.7000122070312,3310.5,2169.5,2432.0
2014-03-07,6712.7001953125,3985.0,3290.0,480.04998779296875,1841.5,324.8500061035156,1665.666015625,619.5999755859375,3200.0,2171.0,2421.0
2014-03-10,6689.5,3989.5,3340.5,484.0,1855.0,317.0,1684.8057861328125,615.7000122070312,3139.5,2193.0,2414.0
2014-03-11,6685.5,4016.0,3334.5,484.0,1849.0,313.20001220703125,1686.3167724609375,616.5999755859375,3155.0,2198.0,2385.0
2014-03-12,6620.89990234375,4002.0,3218.0,482.6000061035156,1809.5,309.5,1661.636474609375,599.2000122070312,3173.5,2176.5,2374.0
2014-03-13,6553.7998046875,3979.0,3200.0,478.5,1806.0,304.70001220703125,1650.5555419921875,597.2000122070312,3162.0,2150.5,2355.0
2014-03-14,6527.89990234375,3913.0,3224.0,477.25,1821.0,297.0,1641.4893798828125,598.0999755859375,3140.5,2143.0,2371.0
2014-03-17,6568.39990234375,3970.5,3200.5,476.8500061035156,1780.0,306.6000061035156,1649.54833984375,597.0,3179.5,2151.5,2370.0
2014-03-18,6605.2998046875,3978.5,3253.0,477.0,1797.5,311.45001220703125,1659.621826171875,597.9000244140625,3190.0,2174.5,2390.0
2014-03-19,6573.10009765625,3977.5,3233.0,476.95001220703125,1790.0,301.29998779296875,1667.177001953125,591.7999877929688,3144.5,2166.0,2389.0
2014-03-20,6542.39990234375,3942.0,3214.5,468.25,1791.5,301.3500061035156,1640.9857177734375,594.2000122070312,3157.0,2154.5,2377.0
2014-03-21,6557.2001953125,3929.0,3239.0,468.75,1800.0,303.6000061035156,1628.8974609375,605.7000122070312,3207.0,2173.0,2420.0
